ticker,stonk
AAL,American Airlines Group Inc. Common Stock
AAON,AAON Inc. Common Stock
AAPL,Apple Inc. Common Stock
AAWW,Atlas Air Worldwide Holdings NEW Common Stock
ABCB,Ameris Bancorp Common Stock
ABCL,AbCellera Biologics Inc. Common Shares
ABCM,Abcam plc American Depositary Shares
ABMD,ABIOMED Inc. Common Stock
ABNB,Airbnb Inc. Class A Common Stock
ACAD,ACADIA Pharmaceuticals Inc. Common Stock
ACGL,Arch Capital Group Ltd. Common Stock
ACHC,Acadia Healthcare Company Inc. Common Stock
ACIW,ACI Worldwide Inc. Common Stock
ACT,Enact Holdings Inc. Common Stock
ADBE,Adobe Inc. Common Stock
ADI,Analog Devices Inc. Common Stock
ADP,Automatic Data Processing Inc. Common Stock
ADPT,Adaptive Biotechnologies Corporation Common Stock
ADSK,Autodesk Inc. Common Stock
ADV,Advantage Solutions Inc. Class A Common Stock
AEIS,Advanced Energy Industries Inc. Common Stock
AEP,American Electric Power Company Inc. Common Stock
AFRM,Affirm Holdings Inc. Class A Common Stock
AGNC,AGNC Investment Corp. Common Stock
AHCO,AdaptHealth Corp. Common Stock
AIMC,Altra Industrial Motion Corp. Common Stock
AKAM,Akamai Technologies Inc. Common Stock
ALGM,Allegro MicroSystems Inc. Common Stock
ALGN,Align Technology Inc. Common Stock
ALGT,Allegiant Travel Company Common Stock
ALKS,Alkermes plc Ordinary Shares
ALNY,Alnylam Pharmaceuticals Inc. Common Stock
ALRM,Alarm.com Holdings Inc. Common Stock
ALTR,Altair Engineering Inc. Class A Common Stock
AMAT,Applied Materials Inc. Common Stock
AMBA,Ambarella Inc. Ordinary Shares
AMD,Advanced Micro Devices Inc. Common Stock
AMED,Amedisys Inc Common Stock
AMEH,Apollo Medical Holdings Inc. Common Stock
AMGN,Amgen Inc. Common Stock
AMKR,Amkor Technology Inc. Common Stock
AMPL,Amplitude Inc. Class A Common Stock
AMZN,Amazon.com Inc. Common Stock
ANAT,American National Group Inc. Common Stock
ANGI,Angi Inc. Class A Common Stock
ANSS,ANSYS Inc. Common Stock
APA,APA Corporation Common Stock
APLS,Apellis Pharmaceuticals Inc. Common Stock
APP,Applovin Corporation Class A Common Stock
APPF,AppFolio Inc. Class A Common Stock
APPN,Appian Corporation Class A Common Stock
APPS,Digital Turbine Inc. Common Stock
ARCB,ArcBest Corporation Common Stock
ARCC,Ares Capital Corporation Common Stock
ARGX,argenx SE American Depositary Shares
ARNA,Arena Pharmaceuticals Inc. Common Stock
ARVL,Arrival Ordinary Shares
ARVN,Arvinas Inc. Common Stock
ARWR,Arrowhead Pharmaceuticals Inc. Common Stock
ASML,ASML Holding N.V. New York Registry Shares
ASND,Ascendis Pharma A/S American Depositary Shares
ASO,Academy Sports and Outdoors Inc. Common Stock
ATRC,AtriCure Inc. Common Stock
ATVI,Activision Blizzard Inc. Common Stock
AUB,Atlantic Union Bankshares Corporation Common Stock
AUPH,Aurinia Pharmaceuticals Inc Ordinary Shares
AUR,Aurora Innovation Inc. Class A Common Stock
AVGO,Broadcom Inc. Common Stock
AVT,Avnet Inc. Common Stock
AXNX,Axonics Inc. Common Stock
AXON,Axon Enterprise Inc. Common Stock
AY,Atlantica Sustainable Infrastructure plc Ordinary Shares
AZN,AstraZeneca PLC American Depositary Shares
AZPN,Aspen Technology Inc. Common Stock
AZTA,Azenta Inc.
BANF,BancFirst Corporation Common Stock
BANR,Banner Corporation Common Stock
BCPC,Balchem Corporation Common Stock
BCRX,BioCryst Pharmaceuticals Inc. Common Stock
BEAM,Beam Therapeutics Inc. Common Stock
BECN,Beacon Roofing Supply Inc. Common Stock
BGNE,BeiGene Ltd. American Depositary Shares
BHF,Brighthouse Financial Inc. Common Stock
BIDU,Baidu Inc. ADS
BIGC,BigCommerce Holdings Inc. Series 1 Common Stock
BIIB,Biogen Inc. Common Stock
BILI,Bilibili Inc. American Depositary Shares
BKNG,Booking Holdings Inc. Common Stock
BKR,Baker Hughes Company Class A Common Stock
BL,BlackLine Inc. Common Stock
BLDP,Ballard Power Systems Inc. Common Shares
BLKB,Blackbaud Inc. Common Stock
BMBL,Bumble Inc. Class A Common Stock
BMRN,BioMarin Pharmaceutical Inc. Common Stock
BNTX,BioNTech SE American Depositary Share
BOKF,BOK Financial Corporation Common Stock
BPMC,Blueprint Medicines Corporation Common Stock
BPOP,Popular Inc. Common Stock
BRKR,Bruker Corporation Common Stock
BRZE,Braze Inc. Class A Common Stock
BSY,Bentley Systems Incorporated Class B Common Stock
BYND,Beyond Meat Inc. Common Stock
BZ,KANZHUN LIMITED American Depository Shares
CACC,Credit Acceptance Corporation Common Stock
CAR,Avis Budget Group Inc. Common Stock
CARG,CarGurus Inc. Class A Common Stock 
CASY,Casey's General Stores Inc. Common Stock
CATY,Cathay General Bancorp Common Stock
CBRL,Cracker Barrel Old Country Store Inc Common Stock
CBSH,Commerce Bancshares Inc. Common Stock
CCEP,Coca-Cola Europacific Partners plc Ordinary Shares
CCMP,CMC Materials Inc. Common Stock
CCOI,Cogent Communications Holdings Inc.
CDEV,Centennial Resource Development Inc. Class A Common Stock
CDK,CDK Global Inc. Common Stock
CDLX,Cardlytics Inc. Common Stock
CDNA,CareDx Inc. Common Stock
CDNS,Cadence Design Systems Inc. Common Stock
CDW,CDW Corporation Common Stock
CEGVV,Constellation Energy Corporation Common Stock When-Issued
CELH,Celsius Holdings Inc. Common Stock
CENT,Central Garden & Pet Company Common Stock
CENTA,Central Garden & Pet Company Class A Common Stock Nonvoting
CERE,Cerevel Therapeutics Holdings Inc. Common Stock
CERN,Cerner Corporation Common Stock
CERT,Certara Inc. Common Stock
CFLT,Confluent Inc. Class A Common Stock
CG,The Carlyle Group Inc. Common Stock
CGC,Canopy Growth Corporation Common Shares
CGNX,Cognex Corporation Common Stock
CHDN,Churchill Downs Incorporated Common Stock
CHK,Chesapeake Energy Corporation Common Stock
CHKP,Check Point Software Technologies Ltd. Ordinary Shares
CHNG,Change Healthcare Inc. Common Stock
CHRW,C.H. Robinson Worldwide Inc. Common Stock
CHTR,Charter Communications Inc. Class A Common Stock New
CHX,ChampionX Corporation Common Stock 
CIGI,Colliers International Group Inc. Subordinate Voting Shares
CINF,Cincinnati Financial Corporation Common Stock
CLBK,Columbia Financial Inc. Common Stock
CMCSA,Comcast Corporation Class A Common Stock
CME,CME Group Inc. Class A Common Stock
CNXC,Concentrix Corporation Common Stock
COHR,Coherent Inc. Common Stock
COIN,Coinbase Global Inc. Class A Common Stock
COKE,Coca-Cola Consolidated Inc. Common Stock
COLB,Columbia Banking System Inc. Common Stock
COLM,Columbia Sportswear Company Common Stock
CONE,CyrusOne Inc Common Stock
COOP,Mr. Cooper Group Inc. Common Stock
CORT,Corcept Therapeutics Incorporated Common Stock
CORZ,Core Scientific Inc. Common Stock
COST,Costco Wholesale Corporation Common Stock
COUP,Coupa Software Incorporated Common Stock
CPRT,Copart Inc. (DE) Common Stock
CRCT,Cricut Inc. Class A Common Stock
CRNC,Cerence Inc. Common Stock
CROX,Crocs Inc. Common Stock
CRSP,CRISPR Therapeutics AG Common Shares
CRUS,Cirrus Logic Inc. Common Stock
CRVL,CorVel Corp. Common Stock
CRWD,CrowdStrike Holdings Inc. Class A Common Stock
CSCO,Cisco Systems Inc. Common Stock (DE)
CSGP,CoStar Group Inc. Common Stock
CSQ,Calamos Strategic Total Return Common Stock
CSX,CSX Corporation Common Stock
CTAS,Cintas Corporation Common Stock
CTRE,CareTrust REIT Inc. Common Stock
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock
CTXS,Citrix Systems Inc. Common Stock
CVAC,CureVac N.V. Ordinary Shares
CVBF,CVB Financial Corporation Common Stock
CVCO,Cavco Industries Inc. Common Stock When Issued
CVET,Covetrus Inc. Common Stock
CVLT,Commvault Systems Inc. Common Stock
CVT,Cvent Holding Corp. Common Stock
CWST,Casella Waste Systems Inc. Class A Common Stock
CYBR,CyberArk Software Ltd. Ordinary Shares
CYTK,Cytokinetics Incorporated Common Stock
CZR,Caesars Entertainment Inc. Common Stock
DADA,Dada Nexus Limited American Depositary Shares
DAVE,Dave Inc. Class A Common Stock
DBX,Dropbox Inc. Class A Common Stock
DCT,Duck Creek Technologies Inc. Common Stock
DDOG,Datadog Inc. Class A Common Stock
DH,Definitive Healthcare Corp. Class A Common Stock
DIOD,Diodes Incorporated Common Stock
DISCA,Discovery Inc. Series A Common Stock
DISCB,Discovery Inc. Series B Common Stock
DISCK,Discovery Inc. Series C Common Stock
DISH,DISH Network Corporation Class A Common Stock
DKNG,DraftKings Inc. Class A Common Stock
DLO,DLocal Limited Class A Common Shares
DLTR,Dollar Tree Inc. Common Stock
DNLI,Denali Therapeutics Inc. Common Stock
DNUT,Krispy Kreme Inc. Common Stock
DOCU,DocuSign Inc. Common Stock
DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares
DORM,Dorman Products Inc. Common Stock
DOX,Amdocs Limited Ordinary Shares
DRVN,Driven Brands Holdings Inc. Common Stock
DSEY,Diversey Holdings Ltd. Ordinary Shares
DSGX,Descartes Systems Group Inc. (The) Common Stock
DUOL,Duolingo Inc. Class A Common Stock
DWAC,Digital World Acquisition Corp. Class A Common Stock
DXCM,DexCom Inc. Common Stock
EA,Electronic Arts Inc. Common Stock
EBAY,eBay Inc. Common Stock
EBC,Eastern Bankshares Inc. Common Stock
EEFT,Euronet Worldwide Inc. Common Stock
ENPH,Enphase Energy Inc. Common Stock
ENSG,The Ensign Group Inc. Common Stock
ENTG,Entegris Inc. Common Stock
ENVX,Enovix Corporation Common Stock
EPAY,Bottomline Technologies Inc. Common Stock
EQIX,Equinix Inc. Common Stock REIT
EQRX,EQRx Inc.  Common Stock
ERIC,Ericsson American Depositary Shares
ERIE,Erie Indemnity Company Class A Common Stock
ESGR,Enstar Group Limited Ordinary Shares
ESLT,Elbit Systems Ltd. Ordinary Shares
ETSY,Etsy Inc. Common Stock
EVCM,EverCommerce Inc. Common Stock
EVO,Evotec SE American Depositary Shares
EWBC,East West Bancorp Inc. Common Stock
EXAS,Exact Sciences Corporation Common Stock
EXC,Exelon Corporation Common Stock
EXEL,Exelixis Inc. Common Stock
EXFY,Expensify Inc. Class A Common Stock
EXLS,ExlService Holdings Inc. Common Stock
EXPD,Expeditors International of Washington Inc. Common Stock
EXPE,Expedia Group Inc. Common Stock
EXPI,eXp World Holdings Inc. Common Stock
EXPO,Exponent Inc. Common Stock
EYE,National Vision Holdings Inc. Common Stock
FA,First Advantage Corporation Common Stock
FANG,Diamondback Energy Inc. Commmon Stock
FAST,Fastenal Company Common Stock
FATE,Fate Therapeutics Inc. Common Stock
FB,Meta Platforms Inc. Class A Common Stock
FCFS,FirstCash Holdings Inc. Common Stock
FCNCA,First Citizens BancShares Inc. Class A Common Stock
FELE,Franklin Electric Co. Inc. Common Stock
FFBC,First Financial Bancorp. Common Stock
FFIN,First Financial Bankshares Inc. Common Stock
FFIV,F5 Inc. Common Stock
FHB,First Hawaiian Inc. Common Stock
FIBK,First Interstate BancSystem Inc. Class A Common Stock
FISV,Fiserv Inc. Common Stock
FITB,Fifth Third Bancorp Common Stock
FIVE,Five Below Inc. Common Stock
FIVN,Five9 Inc. Common Stock
FIZZ,National Beverage Corp. Common Stock
FLEX,Flex Ltd. Ordinary Shares
FLYW,Flywire Corporation Voting Common Stock
FMBI,First Midwest Bancorp Inc. Common Stock
FOCS,Focus Financial Partners Inc. Class A Common Stock
FOLD,Amicus Therapeutics Inc. Common Stock
FORM,FormFactor Inc. FormFactor Inc. Common Stock
FOX,Fox Corporation Class B Common Stock
FOXA,Fox Corporation Class A Common Stock
FOXF,Fox Factory Holding Corp. Common Stock
FRHC,Freedom Holding Corp. Common Stock
FRME,First Merchants Corporation Common Stock
FROG,JFrog Ltd. Ordinary Shares
FRPT,Freshpet Inc. Common Stock
FRSH,Freshworks Inc. Class A Common Stock
FSLR,First Solar Inc. Common Stock
FSV,FirstService Corporation Common Shares
FTDR,Frontdoor Inc. Common Stock
FTNT,Fortinet Inc. Common Stock
FULT,Fulton Financial Corporation Common Stock
FUTU,Futu Holdings Limited American Depositary Shares
FWONA,Liberty Media Corporation Series A Liberty Formula One Common Stock
FWONK,Liberty Media Corporation Series C Liberty Formula One Common Stock
FWRD,Forward Air Corporation Common Stock
FYBR,Frontier Communications Parent Inc. Common Stock
GBDC,Golub Capital BDC Inc. Common Stock
GDRX,GoodRx Holdings Inc. Class A Common Stock
GDS,GDS Holdings Limited ADS
GFS,GlobalFoundries Inc. Ordinary Shares
GH,Guardant Health Inc. Common Stock
GILD,Gilead Sciences Inc. Common Stock
GLBE,Global-E Online Ltd. Ordinary Shares
GLPG,Galapagos NV American Depositary Shares
GLPI,Gaming and Leisure Properties Inc. Common Stock
GMAB,Genmab A/S ADS
GNTX,Gentex Corporation Common Stock
GO,Grocery Outlet Holding Corp. Common Stock
GOOG,Alphabet Inc. Class C Capital Stock
GOOGL,Alphabet Inc. Class A Common Stock
GRAB,Grab Holdings Limited Class A Ordinary Shares
GRFS,Grifols S.A. American Depositary Shares
GRUB,Just Eat Takeaway.com N.V. American Depositary Shares
GSHD,Goosehead Insurance Inc. Class A Common Stock
